rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,parent_theme,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
68,ColorMag,colormag,40000,98,4.9,Classic,2025-12-22,,https://wordpress.org/themes/colormag/,https://github.com/themegrill/colormag,official,https://wordpress.org/themes/colormag/,4,0,,,2025-08-19,,"Blog, Custom background, Custom colors, Custom header, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
69,Frankfurt News,frankfurt-news,600,0,0.0,Gutenberg-compatible,2026-03-25,newsexo,https://wordpress.org/themes/frankfurt-news/,,,https://wordpress.org/themes/frankfurt-news/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
70,Ona Architecture,ona-architecture,5000,0,0.0,FSE,2025-02-07,ona,https://wordpress.org/themes/ona-architecture/,,,https://wordpress.org/themes/ona-architecture/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Entertainment, Featured images, Four columns, Full width template, Grid layout, One column, Portfolio, RTL language support, Sticky post, Style variations, Template editing, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
71,SaasLauncher,saaslauncher,5000,100,5.0,FSE,2025-10-16,,https://wordpress.org/themes/saaslauncher/,,,https://wordpress.org/themes/saaslauncher/,1,0,5.0,Medium,2025-09-03,CWE-862,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Full width template, One column, Portfolio, RTL language support, Style variations, Threaded comments, Translation ready, Wide blocks"
72,The Coffee Shop,the-coffee-shop,3000,0,0.0,FSE,2026-02-02,bakery-and-pastry,https://wordpress.org/themes/the-coffee-shop/,,,https://wordpress.org/themes/the-coffee-shop/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Food & drink, Footer widgets, Full width template, One column, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
73,SaaS Startup,saas-startup,600,0,0.0,FSE,2026-01-22,idea-flow,https://wordpress.org/themes/saas-startup/,,,https://wordpress.org/themes/saas-startup/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured image header, Featured images, Footer widgets, Full width template, News, One column, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
74,Total,total,30000,96,4.8,Gutenberg-compatible,2026-03-19,,https://wordpress.org/themes/total/,,,https://wordpress.org/themes/total/,2,0,5.3,Medium,2024-12-13,CWE-862,"Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Education, Featured images, Footer widgets, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
75,Botiga,botiga,10000,98,4.9,Gutenberg-ready,2026-03-12,,https://wordpress.org/themes/botiga/,,,https://wordpress.org/themes/botiga/,0,0,,,,,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
76,Prespa,prespa,8000,100,5.0,Gutenberg-ready,2026-03-17,,https://wordpress.org/themes/prespa/,,,https://wordpress.org/themes/prespa/,0,0,,,,,"Block editor patterns, Blog, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured image header, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
77,Neve FSE,neve-fse,10000,94,4.7,FSE,2026-03-12,,https://wordpress.org/themes/neve-fse/,,,https://wordpress.org/themes/neve-fse/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
78,Beiged,beiged,1000,0,0.0,FSE,2026-02-02,idea-flow,https://wordpress.org/themes/beiged/,,,https://wordpress.org/themes/beiged/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Entertainment, Featured image header, Featured images, Footer widgets, Full width template, News, One column, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
79,Blogus,blogus,10000,98,4.9,Classic,2026-03-18,,https://wordpress.org/themes/blogus/,,,https://wordpress.org/themes/blogus/,0,0,,,,,"Blog, Custom background, Custom logo, E-commerce, Entertainment, Featured images, Footer widgets, Full width template, Left sidebar, Right sidebar, Three columns, Translation ready, Two columns"
80,Twenty Ten,twentyten,50000,94,4.7,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentyten/,https://github.com/taylorlb/twentyten,official,https://wordpress.org/themes/twentyten/,0,0,,,,,"Block editor patterns, Blog, Custom background, Custom header, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Microformats, RTL language support, Sticky post, Threaded comments, Translation ready, Two columns"
81,Vertice,vertice,8000,0,0.0,Classic,2025-11-26,,https://wordpress.org/themes/vertice/,,,https://wordpress.org/themes/vertice/,1,0,4.3,Medium,2024-04-29,CWE-862,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
82,Dacnis,dacnis,5000,0,0.0,Classic,2025-11-26,,https://wordpress.org/themes/dacnis/,,,https://wordpress.org/themes/dacnis/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
83,Rife Free,rife-free,20000,98,4.9,Classic,2026-01-29,,https://wordpress.org/themes/rife-free/,,,https://wordpress.org/themes/rife-free/,2,0,6.5,Medium,2025-01-02,CWE-352; CWE-79,"Custom colors, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Grid layout, Left sidebar, Photography, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
84,Solace,solace,10000,96,4.8,Gutenberg-ready,2026-02-23,,https://wordpress.org/themes/solace/,,,https://wordpress.org/themes/solace/,1,1,,,2026-01-22,,"Block editor styles, Blog, E-commerce, Food & drink, Footer widgets, Full width template, One column, Right sidebar, Threaded comments, Translation ready, Two columns, Wide blocks"
85,Raft,raft,10000,98,4.9,FSE,2025-09-05,,https://wordpress.org/themes/raft/,,,https://wordpress.org/themes/raft/,0,0,,,,,"Block editor patterns, Block themes, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, One column, RTL language support, Sticky post, Threaded comments"
86,Blogfull,blogfull,2000,0,0.0,Gutenberg-ready,2026-01-12,blogus,https://wordpress.org/themes/blogfull/,,,https://wordpress.org/themes/blogfull/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
87,CL Classified,cl-classified,800,100,5.0,Classic,2026-02-05,,https://wordpress.org/themes/cl-classified/,,,https://wordpress.org/themes/cl-classified/,0,0,,,,,"Accessibility ready, Blog, Custom colors, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Footer widgets, Full width template, Grid layout, Left sidebar, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
88,Great Blog,great-blog,200,0,0.0,Classic,2026-03-15,,https://wordpress.org/themes/great-blog/,,,https://wordpress.org/themes/great-blog/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Featured images, Left sidebar, One column, Photography, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready"
89,AgencyGrove Dark,agencygrove-dark,1000,0,0.0,FSE,2025-12-19,agencygrove,https://wordpress.org/themes/agencygrove-dark/,,,https://wordpress.org/themes/agencygrove-dark/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Threaded comments, Translation ready, Wide blocks"
90,Vantage,vantage,40000,92,4.6,Classic,2025-08-04,,https://wordpress.org/themes/vantage/,https://github.com/dthree/vantage,official,https://wordpress.org/themes/vantage/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Grid layout, Left sidebar, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
91,Newsup,newsup,10000,96,4.8,Gutenberg-compatible,2026-03-18,,https://wordpress.org/themes/newsup/,,,https://wordpress.org/themes/newsup/,1,0,,,2025-10-13,,"Blog, Custom background, Custom header, Custom logo, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, News, One column, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
92,Elite Electrician,elite-electrician,1000,0,0.0,FSE,2026-02-02,tradecraft,https://wordpress.org/themes/elite-electrician/,,,https://wordpress.org/themes/elite-electrician/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Footer widgets, Full width template, One column, Portfolio, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
93,ReviewNews,reviewnews,1000,100,5.0,Gutenberg-ready,2026-03-20,,https://wordpress.org/themes/reviewnews/,,,https://wordpress.org/themes/reviewnews/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
94,The Photography Blog,the-photography-blog,300,0,0.0,FSE,2026-02-08,the-photograph,https://wordpress.org/themes/the-photography-blog/,,,https://wordpress.org/themes/the-photography-blog/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, BuddyPress, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Footer widgets, Four columns, Front page posting, Full width template, Grid layout, One column, Photography, Portfolio, RTL language support, Right sidebar, Sticky post, Style variations, Template editing, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
95,Blogmate,blogmate,7000,100,5.0,Gutenberg-ready,2024-08-18,bloglo,https://wordpress.org/themes/blogmate/,,,https://wordpress.org/themes/blogmate/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Entertainment, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
96,Blanky,blanky,100,0,0.0,FSE,2026-03-22,,https://wordpress.org/themes/blanky/,,,https://wordpress.org/themes/blanky/,0,0,,,,,"Block editor patterns, Block themes, Blog, Custom logo, Editor style, One column, Style variations, Translation ready"
97,Mistify,mistify,4000,0,0.0,Classic,2025-11-26,,https://wordpress.org/themes/mistify/,,,https://wordpress.org/themes/mistify/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
98,NewsGo,newsgo,800,0,0.0,Gutenberg-ready,2025-12-11,newsup,https://wordpress.org/themes/newsgo/,,,https://wordpress.org/themes/newsgo/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
99,NewsReview,newsreview,800,100,5.0,Gutenberg-ready,2026-03-20,reviewnews,https://wordpress.org/themes/newsreview/,,,https://wordpress.org/themes/newsreview/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
100,Ember Dawn,ember-dawn,700,0,0.0,FSE,2026-02-02,bakery-and-pastry,https://wordpress.org/themes/ember-dawn/,,,https://wordpress.org/themes/ember-dawn/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Food & drink, Footer widgets, Full width template, One column, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
